epoch,learning_rate,loss,mae,val_loss,val_mae

0,0.0010000000474974513,17689.32421875,63.377437591552734,30.388925552368164,4.5205397605896

1,0.0010000000474974513,1795.9188232421875,33.76226806640625,125.29183959960938,10.220357894897461

2,0.0010000000474974513,1070.104248046875,25.907604217529297,111.1192398071289,9.535323143005371

3,0.0005000000237487257,448.55596923828125,16.808805465698242,76.57566833496094,7.713548183441162

4,0.0005000000237487257,214.17442321777344,11.582481384277344,105.38814544677734,9.250381469726562

5,0.0002500000118743628,111.144775390625,8.34762191772461,42.727012634277344,5.52834415435791

